트랙ID,트랙명,트랙설명,과정순서,과정명
T5,데이터·빅데이터 활용,빅데이터 기술 이해부터 서비스 기획/환경분석 등 활용 시나리오 중심.,2,빅데이터 기술 이해
T5,데이터·빅데이터 활용,빅데이터 기술 이해부터 서비스 기획/환경분석 등 활용 시나리오 중심.,3,빅데이터 기술에 대한 이해
T5,데이터·빅데이터 활용,빅데이터 기술 이해부터 서비스 기획/환경분석 등 활용 시나리오 중심.,4,빅데이터에 대한 이해
T6,AI·생성형AI(업무적용),"AI/인공지능 기초 및 산업 활용, ChatGPT 등 생성형AI를 업무·지식관리·문서(WPS/PQR) 등에 적용.",1,유통산업의 인공지능 활용 이해
T6,AI·생성형AI(업무적용),"AI/인공지능 기초 및 산업 활용, ChatGPT 등 생성형AI를 업무·지식관리·문서(WPS/PQR) 등에 적용.",2,인공지능 이해
T6,AI·생성형AI(업무적용),"AI/인공지능 기초 및 산업 활용, ChatGPT 등 생성형AI를 업무·지식관리·문서(WPS/PQR) 등에 적용.",3,인공지능의 이해
T6,AI·생성형AI(업무적용),"AI/인공지능 기초 및 산업 활용, ChatGPT 등 생성형AI를 업무·지식관리·문서(WPS/PQR) 등에 적용.",4,AI기반의 지식공유를 위한 기업 관점에서 ChatGPT활용 가이드
T6,AI·생성형AI(업무적용),"AI/인공지능 기초 및 산업 활용, ChatGPT 등 생성형AI를 업무·지식관리·문서(WPS/PQR) 등에 적용.",5,AI기반의 지식공유를 통한 WPS & PQR 활용 가이드
T7,IoT·로봇·자동화,IoT/로봇 기술을 중심으로 제조 자동화·연결성 향상에 필요한 기술 이해.,1,4차산업혁명과 로봇기술
T7,IoT·로봇·자동화,IoT/로봇 기술을 중심으로 제조 자동화·연결성 향상에 필요한 기술 이해.,2,5차산업혁명과 로봇기술
T7,IoT·로봇·자동화,IoT/로봇 기술을 중심으로 제조 자동화·연결성 향상에 필요한 기술 이해.,3,미래산업과 사물인터넷
T8,현장 가공·CNC 업스킬,CNC 선반 이론부터 프로그램 교육까지 현장 기능인력 업스킬.,1,CNC선반의 기초 이론
T8,현장 가공·CNC 업스킬,CNC 선반 이론부터 프로그램 교육까지 현장 기능인력 업스킬.,2,범용밀링의 기초 이론
T8,현장 가공·CNC 업스킬,CNC 선반 이론부터 프로그램 교육까지 현장 기능인력 업스킬.,3,범용선반의 기초 이론
T8,현장 가공·CNC 업스킬,CNC 선반 이론부터 프로그램 교육까지 현장 기능인력 업스킬.,4,제조실행시스템운영을통한필름가공생산성및품질향상
T8,현장 가공·CNC 업스킬,CNC 선반 이론부터 프로그램 교육까지 현장 기능인력 업스킬.,5,CNC선반의 프로그램 교육
T9,금형·설계 연계(MES+금형),MES 개념을 금형(T-MOLD) 설계/제작 맥락과 연결하는 특화 트랙.,1,제조실행시스템운영을통한금형제작생산관리및품질관리
T9,금형·설계 연계(MES+금형),MES 개념을 금형(T-MOLD) 설계/제작 맥락과 연결하는 특화 트랙.,2,MES개념과 T-MOLD 설계 시스템
